z,i_LSST_mag,z_LSST_mag,Y_WFI_mag,J_WFI_mag,H_WFI_mag,F_WFI_mag,label,spt,labela,labelb,labelc,labeld,labele,labelf
6.406638468467981,27.532036832011617,25.116377070618466,24.15959763394769,24.087764187151976,24.303870853449425,24.112669352070416,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.199295109598485,28.38083432615292,25.834654632493844,25.39867187476412,25.60015506393933,25.617763332840298,25.53789310056671,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
6.281060701691107,27.297134496743105,24.47855457272041,23.85672732136384,23.85424097377238,23.98301504598992,23.7343025477991,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.142488870124216,27.1451998520579,24.595492483859413,23.95500217352115,23.879654412044115,23.70857271915416,23.422524029118986,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0
6.014309205433999,27.109295963187577,24.386038386025103,24.050288727270296,24.21627694528269,24.1790468551853,23.93603774447017,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
6.423103432038646,29.50933096731969,25.13127313679709,24.335725562565678,24.33620241985119,24.47964418470574,24.38594312534762,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.139693732033811,27.15915605852596,24.125265998151846,23.68037496047846,23.7512236177018,23.76183581221846,23.513345458133443,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.039292482913583,27.566194259247887,25.59794999250207,25.400411206193915,25.535604869208463,25.44652375591208,25.194436452156022,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
6.44128194945567,26.95523873545953,24.624662281068503,23.100171407122215,22.92488283529125,22.91247674477979,22.68646997850769,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
6.119485516583465,28.538556802813385,25.188665725222613,25.00456772822993,25.05471817650392,25.028681615945025,24.813155787613493,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.008199221259806,27.63669516814994,24.326983072874835,24.313952596802118,24.391521237712222,24.354758443448763,24.02358002985625,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.354310425922135,27.704878876954677,24.26100842228593,23.5855013565922,23.641968120804727,23.823454782656118,23.787102766613565,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.220771221581115,28.439175221956106,25.030036112989567,24.58669673783345,24.60058210999953,24.64623532649401,24.53816324501831,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.282515287128355,28.50809136023068,25.516466770214823,24.79799588743107,24.745231590736672,24.90289593950476,24.8445380129475,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.018873256835196,28.135172669758788,25.90826412895065,25.579981345941423,25.535635517490583,25.61845189527476,25.34192487047072,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.222873702778283,28.00235172437413,24.78046463074397,24.541127841290177,24.57895580800407,24.734035464117685,24.6185183319096,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.231262264541726,29.052878800012326,25.283791828903677,24.990613202195327,24.93837291464752,24.89519994593761,24.60202383269124,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.149872708493743,29.661430545531104,25.612069780951217,25.339274870099818,25.528378466046934,25.466859109320826,25.373118822489307,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.328599155736742,29.119170342546283,25.78088752881262,25.21940542186684,25.091485534547243,25.12089382073388,24.978693195217463,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
6.081328271735531,27.28759732434967,24.19648086897988,23.85966599811227,23.87986539153533,23.750699364324632,23.44562250166977,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0
6.314451793446307,27.29714527044172,24.10168154584153,23.507686662310466,23.474098468543858,23.49967072218238,23.39903243715421,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0
